index,show/id,show/cache_time,show/canonical_name,show/clips_count,show/description,show/episodes_count,show/feature_films_count,show/film_clips_count,show/genre,show/genres,show/is_movie,show/is_showtime_only,show/is_subscriber_only,show/link_description,show/name,show/rating,show/seasons_count,show/series_id,show/thumbnail_url,show/key_art_url,show/type,show/videos_count,show/availability/0,show/availability/1,show/availability/2,show/is_coppa,show/is_web_only,show/available_package_ids,show/company/id,show/company/channel_id,show/company/name,show/company/short_name,show/company/canonical_name,show/company/key_art_url,show/company/network_logo_url,show/company/has_logo_url
795,20977,2017-08-10T15:32:18+00:00,drake-and-josh,0,"While Drake is laid back and goes with the flow, Josh lives strictly by the rules! But when Josh's dad and Drake's mom get married, these two totally opposite boys become stepbrothers!",47,0,0,Kids,Kids|Comedy,False,False,False,,Drake & Josh,3.941895566,4,50018838,https://ib.hulu.com/show/20977?size=476x268&region=US,https://ib.hulu.com/show_key_art/20977?size=1600x600&region=US,show,47,web,living_room,mobile,True,False,"2,14",584,50000347,Nickelodeon,Nickelodeon,nickelodeon,https://ib1.hulu.com/company_key_art/584?size=1600x600&region=US,,True
796,20969,2017-08-10T15:49:06+00:00,hey-arnold,0,"Football-headed Arnold lives with his offbeat grandparents and pet pig in a boarding house inhabited by a bunch of eccentrics. With his best buddy Gerald, Arnold endures playground bullies, crushes, and everything else that comes with big-city life.",99,0,0,Animation and Cartoons,Animation and Cartoons~Saturday Morning Cartoons|Kids|Teen,False,False,False,,Hey Arnold!,4.098780423,5,50019171,https://ib1.hulu.com/show/20969?size=476x268&region=US,https://ib1.hulu.com/show_key_art/20969?size=1600x600&region=US,show,99,web,living_room,mobile,True,False,"2,14",584,50000347,Nickelodeon,Nickelodeon,nickelodeon,https://ib1.hulu.com/company_key_art/584?size=1600x600&region=US,,True
797,14114,2017-08-10T15:56:16+00:00,east-los-high,34,"East Los High is a breakthrough Hulu Original that centers around romance, dance, and the struggle of a group of Latino teens living in East Los Angeles.",60,0,0,Drama,Drama|Latino|Teen,False,False,False,,East Los High,4.15686925,4,50011523,https://ib1.hulu.com/show/14114?size=476x268&region=US,https://ib1.hulu.com/show_key_art/14114?size=1600x600&region=US,show,94,web,living_room,mobile,False,False,"1,2,14",492,50000249,Hulu Original Series,Hulu Original Series,hulu-original-series,https://ib4.hulu.com/company_key_art/492?size=1600x600&region=US,,False
798,1349,2017-08-10T15:58:55+00:00,sesame-street,7,"The beloved show ""Sesame Street"" combines education and entertainment to make a meaningful difference in children's lives. Besides teaching letters and numbers, ""Sesame Street"" fosters imagination, builds social skills, and models respect for people's differences, whether they're based in race, gender, ethnicity, googly eyes, or neon fur.",60,0,0,Kids,Kids,False,False,False,,Sesame Street,3.363813493,3,10360,https://ib4.hulu.com/show/1349?size=476x268&region=US,https://ib4.hulu.com/show_key_art/1349?size=1600x600&region=US,show,67,web,living_room,mobile,True,False,"1,2,14",154,181,Sesame Street,Sesame Street,sesame-street,https://ib4.hulu.com/company_key_art/154?size=1600x600&region=US,,False
799,23170,2017-08-10T15:30:25+00:00,casual,20,"From the Academy Award Nominated Director of “Up in the Air” and “Juno” comes Casual, a new comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter. Created by Zander Lehmann, Casual is executive produced by Jason Reitman, Zander Lehmann, Helen Estabrook, and Liz Tigelaar.",36,0,0,Comedy,Comedy,False,False,False,,Casual,4.536517228,3,50021539,https://ib3.hulu.com/show/23170?size=476x268&region=US,https://ib3.hulu.com/show_key_art/23170?size=1600x600&region=US,show,56,web,living_room,mobile,False,False,"1,2,14",492,50000249,Hulu Original Series,Hulu Original Series,hulu-original-series,https://ib4.hulu.com/company_key_art/492?size=1600x600&region=US,,False
800,77,2017-08-10T15:01:46+00:00,saturday-night-live,7073,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,370,0,0,Comedy,Comedy~Sketch Comedy|Comedy~Late Night Comedy,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.nbc.com/Saturday_Night_Live/"" target=""_blank"">Saturday Night Live website</a>",Saturday Night Live,4.083795347,18,8765,https://ib.hulu.com/show/77?size=476x268&region=US,https://ib.hulu.com/show_key_art/77?size=1600x600&region=US,show,7443,web,living_room,mobile,False,False,"1,2,14",2,24,NBC,NBC,nbc,https://ib.hulu.com/company_key_art/2?size=1600x600&region=US,https://ib.hulu.com/company_logo/2?bg=dim&color=0&format=png&region=US,True
801,11248,2017-08-10T14:58:23+00:00,the-mindy-project,23,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",107,0,0,Comedy,Comedy~Sitcoms,False,False,False,,The Mindy Project,4.440965244,5,50007572,https://ib1.hulu.com/show/11248?size=476x268&region=US,https://ib1.hulu.com/show_key_art/11248?size=1600x600&region=US,show,130,web,living_room,mobile,False,False,"1,2,14",492,50000249,Hulu Original Series,Hulu Original Series,hulu-original-series,https://ib4.hulu.com/company_key_art/492?size=1600x600&region=US,,False
802,2505,2017-08-10T14:35:54+00:00,community,0,"Disbarred lawyer Jeff Winger enrolls in a local community college. While there, he forms a study group who eventually learn more about themselves than their course work.",110,0,0,Comedy,Comedy,False,False,False,,Community,4.583853327,6,12316,https://ib4.hulu.com/show/2505?size=476x268&region=US,https://ib4.hulu.com/show_key_art/2505?size=1600x600&region=US,show,110,web,living_room,mobile,False,False,"2,14",603,50000375,Sony Pictures Television,Sony Pictures Television,sony-pictures-television,https://ib3.hulu.com/company_key_art/603?size=1600x600&region=US,,False
803,2252,2017-08-10T15:23:19+00:00,greys-anatomy,155,"The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis – it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey.",24,0,0,Drama,Drama~Medical Drama|Teen,False,False,False,"For photos and insider scoop from cast and crew visit the official <a href=""http://abc.go.com/primetime/greysanatomy/index?pn=index&CID=09_Hulu_ABC"" target=""_blank"">Grey's Anatomy site</a>",Grey's Anatomy,4.462517355,1,11970,https://ib3.hulu.com/show/2252?size=476x268&region=US,https://ib3.hulu.com/show_key_art/2252?size=1600x600&region=US,show,179,web,living_room,mobile,False,False,"1,2,4,5,14",231,282,ABC,ABC,abc,https://ib.hulu.com/company_key_art/231?size=1600x600&region=US,https://ib.hulu.com/company_logo/231?bg=dim&color=0&format=png&region=US,True
804,58,2017-08-10T14:58:44+00:00,the-simpsons,405,"This long-running animated comedy focuses on the eponymous family in the town of Springfield in an unnamed U.S. state. The head of the Simpson family, Homer, is not a typical family man. A nuclear-plant employee, he does his best to lead his family but often finds that they are leading him. The family includes loving, blue-haired matriarch Marge, troublemaking son Bart, overachieving daughter Lisa and baby Maggie. Other Springfield residents include the family's religious neighbor, Ned Flanders, family physician Dr. Hibbert, Moe the bartender and police chief Clancy Wiggum.",21,0,0,Comedy,Comedy~Sitcoms|Animation and Cartoons~Primetime Animation,False,False,False,"For insider news, photos, and more visit <a href=""http://www.thesimpsons.com/"" target=""_blank"">The Simpsons official website</a>",The Simpsons,4.259297787,1,392,https://ib4.hulu.com/show/58?size=476x268&region=US,https://ib4.hulu.com/show_key_art/58?size=1600x600&region=US,show,426,web,living_room,mobile,False,False,"1,2,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
805,15137,2017-08-10T16:11:33+00:00,brooklyn-nine-nine,155,"BROOKLYN NINE-NINE is an ensemble comedy about a talented-but-carefree detective, a by-the-book police captain and their precinct colleagues. While based in the workplace, the series is not really about the job – it’s about the men and women behind the badge.",90,0,0,Comedy,Comedy,False,False,False,,Brooklyn Nine-Nine,4.525907915,4,50012564,https://ib2.hulu.com/show/15137?size=476x268&region=US,https://ib2.hulu.com/show_key_art/15137?size=1600x600&region=US,show,245,web,living_room,mobile,False,False,"1,2,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
806,1968,2017-08-10T14:46:29+00:00,parks-and-recreation,1,"Leslie Knope takes on the system in Pawnee, IN.",123,0,0,Comedy,Comedy~Sitcoms,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.nbc.com/parks-and-recreation/"" target=""_blank"">Parks and Recreation website</a>",Parks and Recreation,4.582548165,7,11549,https://ib1.hulu.com/show/1968?size=476x268&region=US,https://ib1.hulu.com/show_key_art/1968?size=1600x600&region=US,show,124,web,living_room,mobile,False,False,"2,14",2,24,NBC,NBC,nbc,https://ib.hulu.com/company_key_art/2?size=1600x600&region=US,https://ib.hulu.com/company_logo/2?bg=dim&color=0&format=png&region=US,True
807,22015,2017-08-10T14:53:53+00:00,the-amazing-world-of-gumball,156,"Gumball’s world is pretty run-of-the-mill. He’s chased around school by a T-Rex. He has a friend named Anton who’s a piece of toast. He’s got a crush on Penny, a peanut with antlers. His dad is a 6’4” bunny. His mom works at a Rainbow Factory. And his brother is a goldfish named Darwin. Yup, everything looks perfectly normal here.",156,0,0,Kids,Kids|Animation and Cartoons|Family|Teen,False,False,False,,The Amazing World of Gumball,4.015876956,4,50020274,https://ib.hulu.com/show/22015?size=476x268&region=US,https://ib.hulu.com/show_key_art/22015?size=1600x600&region=US,show,312,web,living_room,mobile,True,False,"1,2,14",855,50000651,Cartoon Network,Cartoon Network,cartoon-network,https://ib2.hulu.com/company_key_art/855?size=1600x600&region=US,,False
808,4910,2017-08-10T14:39:09+00:00,bobs-burgers,99,"Bob runs Bob's Burgers with the help of his wife and their three kids. Business may be slow, but they never give up hope.",129,0,0,Animation and Cartoons,Animation and Cartoons~Primetime Animation|Comedy,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/bobsburgers/"" target=""_blank"">Bob's Burgers</a> website",Bob's Burgers,4.323962371,7,50001677,https://ib1.hulu.com/show/4910?size=476x268&region=US,https://ib1.hulu.com/show_key_art/4910?size=1600x600&region=US,show,228,web,living_room,mobile,False,False,"1,2,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
809,7529,2017-08-10T14:55:15+00:00,new-girl,139,"An ensemble comedy centering on a free-spirited young woman, her three male roommates and her best friend, as they navigate modern relationships and end up forming a charmingly dysfunctional – or strangely functional –  family.",22,0,0,Comedy,Comedy~Sitcoms|Teen,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/new-girl/"" target=""_blank"">New Girl website</a>",New Girl,4.588292488,1,50004647,https://ib.hulu.com/show/7529?size=476x268&region=US,https://ib.hulu.com/show_key_art/7529?size=1600x600&region=US,show,161,web,living_room,mobile,False,False,"1,2,5,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
810,2103,2017-08-10T15:56:52+00:00,glee,0,"A group of ambitious and talented kids find strength, acceptance and, ultimately, their voices in this uplifting musical comedy.",121,0,0,Drama,Drama|Music~Musicals|Comedy|Teen,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/glee/"" target=""_blank"">Glee</a> website",Glee,4.187489416,6,11725,https://ib3.hulu.com/show/2103?size=476x268&region=US,https://ib3.hulu.com/show_key_art/2103?size=1600x600&region=US,show,121,web,living_room,mobile,False,False,"2,4,5,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
811,10,2017-08-10T15:46:57+00:00,bones,60,Forensic anthropologist Dr. Temperance Brennan uses her uncanny ability to read clues left behind in bones to help FBI agent Seeley Booth solve murder cases. Based on the life of anthropologist and novelist Kathy Reichs.,246,0,0,Drama,Drama~Crime and Courtroom Drama,False,False,False,"For insider news, photos, and more visit the official <a href=""http://www.fox.com/bones/"" target=""_blank"">Bones website</a>",Bones,4.618597705,12,384,https://ib2.hulu.com/show/10?size=476x268&region=US,https://ib2.hulu.com/show_key_art/10?size=1600x600&region=US,show,306,web,living_room,mobile,False,False,"1,2,4,5,14",8,2,FOX,FOX,fox,https://ib1.hulu.com/company_key_art/8?size=1600x600&region=US,https://ib1.hulu.com/company_logo/8?bg=dim&color=0&format=png&region=US,True
812,11226,2017-08-10T14:40:14+00:00,nashville,426,"A legendary queen of country music struggles to maintain her place in the spotlight while dealing with an ambitious rising pop-country vixen who wants to knock her off the throne. From executive producer Callie Khouri (writer of Thelma & Louise) comes this contemporary musical drama about love, power, money, family and music. ",107,0,0,Drama,Drama|Music~Musicals,False,False,False,,Nashville,4.424495117,5,50008475,https://ib2.hulu.com/show/11226?size=476x268&region=US,https://ib2.hulu.com/show_key_art/11226?size=1600x600&region=US,show,533,web,living_room,mobile,False,False,"1,2,14",390,50000125,CMT,CMT,cmt,https://ib1.hulu.com/company_key_art/390?size=1600x600&region=US,https://ib1.hulu.com/company_logo/390?bg=dim&color=0&format=png&region=US,True
813,22278,2017-08-10T14:46:00+00:00,regular-show,220,"Mordecai – a sarcastic blue jay, and Rigby – a somewhat responsible raccoon, are best friends. They even work together at a park owned by Pops, a big lollipop-headed guy. Which seems normal enough. They’ve got a cranky gumball machine for a boss and they work alongside a Zen-like yeti named Skips. Yep. Everything is as regular as can be.",217,0,0,Kids,Kids|Animation and Cartoons|Teen,False,False,False,,Regular Show,4.061273937,7,50020482,https://ib1.hulu.com/show/22278?size=476x268&region=US,https://ib1.hulu.com/show_key_art/22278?size=1600x600&region=US,show,437,web,living_room,mobile,True,False,"1,2,14",855,50000651,Cartoon Network,Cartoon Network,cartoon-network,https://ib2.hulu.com/company_key_art/855?size=1600x600&region=US,,False
